id,id_scheme,type_id,name_ru,name_yo,name_en,abbr,parent_id,admin1,lat,lon,wd,geonames,fias,oktmo,iso,status,replaced_by,source_id,source_rev,updated_at,notes
foiv:rospatent,foiv,agency,Федеральная служба по интеллектуальной собственности,,Federal Service for Intellectual Property,Роспатент,foiv:economy,,,,Q4481687,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:minenergo,foiv,agency,Министерство энергетики Российской Федерации,,Ministry of Energy of the Russian Federation,Минэнерго,,,,,Q2659854,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fas,foiv,agency,Федеральная антимонопольная служба,,Federal Antimonopoly Service,ФАС,,,,,Q4481662,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosreestr,foiv,agency,"Федеральная служба государственной регистрации, кадастра и картографии",,"Federal Service for State Registration, Cadastre and Cartography",Росреестр,,,,,Q4481676,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rospotrebnadzor,foiv,agency,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,,Federal Service for the Oversight of Consumer Protection and Welfare,Роспотребнадзор,,,,,Q4736878,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:obrnadzor,foiv,agency,Федеральная служба по надзору в сфере образования и науки,,Federal Service for Supervision in Education and Science,Рособрнадзор,,,,,Q4481685,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:gosnadzor,foiv,agency,"Федеральная служба по экологическому, технологическому и атомному надзору",,Rostekhnadzor,Ростехнадзор,,,,,Q1758977,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:rosrezerv,foiv,agency,Федеральное агентство по государственным резервам,,Federal Agency for State Reserves,Росрезерв,,,,,Q4481714,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fadm,foiv,agency,Федеральное агентство по делам молодежи,Федеральное агентство по делам молодёжи,Federal Agency for Youth Affairs,Росмолодёжь,,,,,Q4481715,,,,,active,,ukase-326,2024-06-17,2026-09-24,
foiv:fadn,foiv,agency,Федеральное агентство по делам национальностей,,Federal Agency for Ethnic Affairs,ФАДН,,,,,Q19915957,,,,,active,,ukase-326,2024-06-17,2026-09-24,
