id,type_code,lemma,yo,gender,paradigm,declinable,nom,gen,dat,acc,ins,pre,loc2,review,source
wd:Q4468147,hodonym,Теплый переулок,Тёплый переулок,,mixed_phrase,always,Теплый переулок,,,,,,,needs_review,wikidata
wd:Q4419184,hodonym,Силикатная улица,,,mixed_phrase,always,Силикатная улица,,,,,,,needs_review,wikidata
wd:Q4189797,hodonym,Звездная улица,Звёздная улица,,mixed_phrase,always,Звездная улица,,,,,,,needs_review,wikidata
wd:Q4338607,hodonym,Осташковское шоссе,,,mixed_phrase,always,Осташковское шоссе,,,,,,,needs_review,wikidata
wd:Q4471156,hodonym,Улица Айвазовского,,,mixed_phrase,always,Улица Айвазовского,,,,,,,needs_review,wikidata
wd:Q4472507,hodonym,Улица Кольцова,,,mixed_phrase,always,Улица Кольцова,,,,,,,needs_review,wikidata
wd:Q4379636,hodonym,Провинциальная улица,,,mixed_phrase,always,Провинциальная улица,,,,,,,needs_review,wikidata
wd:Q4303966,hodonym,Московская улица,,,mixed_phrase,always,Московская улица,,,,,,,needs_review,wikidata
wd:Q4470525,hodonym,Украинская улица,,,mixed_phrase,always,Украинская улица,,,,,,,needs_review,wikidata
wd:Q4503741,hodonym,Целинная улица,,,mixed_phrase,always,Целинная улица,,,,,,,needs_review,wikidata
wd:Q4471330,hodonym,Улица Артема,Улица Артёма,,mixed_phrase,always,Улица Артема,,,,,,,needs_review,wikidata
wd:Q4460220,hodonym,Томашевский тупик,,,mixed_phrase,always,Томашевский тупик,,,,,,,needs_review,wikidata
wd:Q4473738,hodonym,Улица Пушкина,,,mixed_phrase,always,Улица Пушкина,,,,,,,needs_review,wikidata
wd:Q4147908,hodonym,Граничная улица,,,mixed_phrase,always,Граничная улица,,,,,,,needs_review,wikidata
wd:Q4345730,hodonym,Паровозная улица,,,mixed_phrase,always,Паровозная улица,,,,,,,needs_review,wikidata
wd:Q4377869,hodonym,Привокзальная улица,,,mixed_phrase,always,Привокзальная улица,,,,,,,needs_review,wikidata
wd:Q4472629,hodonym,Улица Котовского,,,mixed_phrase,always,Улица Котовского,,,,,,,needs_review,wikidata
wd:Q4471194,hodonym,Улица Академика Королева,Улица Академика Королёва,,mixed_phrase,always,Улица Академика Королева,,,,,,,needs_review,wikidata
wd:Q4183990,hodonym,Задонский переулок,,,mixed_phrase,always,Задонский переулок,,,,,,,needs_review,wikidata
wd:Q4471282,hodonym,Улица Аминева,,,mixed_phrase,always,Улица Аминева,,,,,,,needs_review,wikidata
wd:Q4216436,hodonym,Карьерная улица,,,mixed_phrase,always,Карьерная улица,,,,,,,needs_review,wikidata
wd:Q4464332,hodonym,Трудовая улица,,,mixed_phrase,always,Трудовая улица,,,,,,,needs_review,wikidata
wd:Q4471386,hodonym,Улица Барковского,,,mixed_phrase,always,Улица Барковского,,,,,,,needs_review,wikidata
wd:Q4339946,hodonym,Отрадная улица,,,mixed_phrase,always,Отрадная улица,,,,,,,needs_review,wikidata
wd:Q4373301,hodonym,Портовая улица,,,mixed_phrase,always,Портовая улица,,,,,,,needs_review,wikidata
wd:Q4411180,hodonym,Свободный переулок,,,mixed_phrase,always,Свободный переулок,,,,,,,needs_review,wikidata
wd:Q4411914,hodonym,Севастопольская улица,,,mixed_phrase,always,Севастопольская улица,,,,,,,needs_review,wikidata
wd:Q4377862,hodonym,Привокзальная улица,,,mixed_phrase,always,Привокзальная улица,,,,,,,needs_review,wikidata
wd:Q4223168,hodonym,Клеверный переулок,,,mixed_phrase,always,Клеверный переулок,,,,,,,needs_review,wikidata
wd:Q4177930,hodonym,Жактовская улица,,,mixed_phrase,always,Жактовская улица,,,,,,,needs_review,wikidata
wd:Q4471770,hodonym,Улица Высоцкого,,,mixed_phrase,always,Улица Высоцкого,,,,,,,needs_review,wikidata
wd:Q4309571,hodonym,Мысхакское шоссе,,,mixed_phrase,always,Мысхакское шоссе,,,,,,,needs_review,wikidata
wd:Q4166357,hodonym,Донская улица,,,mixed_phrase,always,Донская улица,,,,,,,needs_review,wikidata
wd:Q4474256,hodonym,Улица Трофимова,,,mixed_phrase,always,Улица Трофимова,,,,,,,needs_review,wikidata
wd:Q4474417,hodonym,Улица Хорошавина,,,mixed_phrase,always,Улица Хорошавина,,,,,,,needs_review,wikidata
wd:Q4381334,hodonym,Проспект Пушкина,,,mixed_phrase,always,Проспект Пушкина,,,,,,,needs_review,wikidata
wd:Q4471806,hodonym,Улица Гайдара,,,mixed_phrase,always,Улица Гайдара,,,,,,,needs_review,wikidata
wd:Q4221776,hodonym,Кирпичная улица,,,mixed_phrase,always,Кирпичная улица,,,,,,,needs_review,wikidata
wd:Q4147538,hodonym,Гражданская улица,,,mixed_phrase,always,Гражданская улица,,,,,,,needs_review,wikidata
wd:Q4238761,hodonym,Краснозоренский переулок,,,mixed_phrase,always,Краснозоренский переулок,,,,,,,needs_review,wikidata
wd:Q4472613,hodonym,Улица Костенко,,,mixed_phrase,always,Улица Костенко,,,,,,,needs_review,wikidata
wd:Q4192804,hodonym,Знаменская улица,,,mixed_phrase,always,Знаменская улица,,,,,,,needs_review,wikidata
wd:Q4474271,hodonym,Улица Тухачевского,,,mixed_phrase,always,Улица Тухачевского,,,,,,,needs_review,wikidata
wd:Q4381528,hodonym,Просторная улица,,,mixed_phrase,always,Просторная улица,,,,,,,needs_review,wikidata
wd:Q4471867,hodonym,Улица Героев Десантников,,,mixed_phrase,always,Улица Героев Десантников,,,,,,,needs_review,wikidata
wd:Q4348472,hodonym,Пензенская улица,,,mixed_phrase,always,Пензенская улица,,,,,,,needs_review,wikidata
wd:Q4347056,hodonym,Патриотическая улица,,,mixed_phrase,always,Патриотическая улица,,,,,,,needs_review,wikidata
wd:Q6683634,hodonym,Университетская улица,,,mixed_phrase,always,Университетская улица,,,,,,,needs_review,wikidata
wd:Q4184019,hodonym,Задорожная улица,,,mixed_phrase,always,Задорожная улица,,,,,,,needs_review,wikidata
wd:Q4538842,hodonym,Ярославская улица,,,mixed_phrase,always,Ярославская улица,,,,,,,needs_review,wikidata
wd:Q4191258,hodonym,Земский переулок,,,mixed_phrase,always,Земский переулок,,,,,,,needs_review,wikidata
wd:Q4473662,hodonym,Улица Постышева,,,mixed_phrase,always,Улица Постышева,,,,,,,needs_review,wikidata
